matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away
vBqGVqTF,,FINISHED,17.04.2021 21:15,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,1,0,7.3,6.6,Jones R. (Eng),Molineux Stadium (Wolverhampton),31 750,,48%,52%,10,8,5,2,3,3,0%,0%,3,2,2,4,2,2,18,10,27,14,8,15,2,4,1,2,,
rqj7X5b3,,FINISHED,17.04.2021 13:30,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,3,2,7.1,6.5,Friend K. (Eng),St. James' Park (Newcastle),52 305,,35%,65%,16,16,8,6,3,8,0%,0%,1,4,7,6,2,0,7,11,16,40,9,7,4,5,2,2,0,1
GWECBOyp,,FINISHED,16.04.2021 21:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,2,2,7.1,6.9,Oliver M. (Eng),Goodison Park (Liverpool),39 572,,53%,47%,18,12,7,3,6,3,0%,0%,8,4,3,5,2,0,7,10,21,24,8,8,1,5,1,1,,
z1FgIZha,,FINISHED,12.04.2021 21:15,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,0,0,7.1,7.2,England D. (Eng),Amex Stadium (Brighton),31 876,,55%,45%,23,8,3,1,10,3,0%,0%,10,6,10,1,0,1,8,12,19,22,12,7,1,3,1,2,,
zFfSWY7h,,FINISHED,12.04.2021 19:00,West Brom,https://static.flashscore.com/res/image/data/zDuImRwS-ImMEe0UF.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,3,0,7.7,6.4,Hooper S. (Eng),The Hawthorns (West Bromwich),26 688,,40%,60%,15,14,6,4,5,10,0%,0%,6,10,3,0,4,2,11,15,16,20,12,11,4,3,0,1,,
r7xLYfwt,,FINISHED,11.04.2021 20:00,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,0,3,6.3,7.5,Bankes P. (Eng),Bramall Lane (Sheffield),32 050,,45%,55%,7,14,2,5,2,4,0%,0%,2,3,3,6,2,3,9,11,13,25,9,6,2,2,1,1,,
theOXEhn,,FINISHED,11.04.2021 17:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,1,3,6.7,7.3,Kavanagh C. (Eng),Tottenham Hotspur Stadium (London),62 850,,47%,53%,12,12,3,7,7,5,0%,0%,6,2,3,3,3,1,16,14,20,19,11,15,4,2,1,5,,
E5gWVhNb,,FINISHED,11.04.2021 15:05,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,3,2,7.1,6.6,Dean M. (Eng),London Stadium (London),62 500,,36%,64%,4,15,4,4,1,9,0%,0%,0,5,0,6,3,1,14,10,21,17,7,13,2,1,3,3,,
l4JcHg85,,FINISHED,11.04.2021 13:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,2,6.8,7.2,Taylor A. (Eng),Turf Moor (Burnley),22 546,,57%,43%,24,10,4,5,13,3,0%,0%,14,2,6,3,0,2,15,11,20,24,11,12,3,3,1,0,,
WS82GDNB,,FINISHED,10.04.2021 18:30,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,4,6.5,7.6,Oliver M. (Eng),Selhurst Park (London),25 486,,36%,64%,1,23,1,10,0,8,0%,0%,0,6,0,7,1,2,15,8,20,17,7,12,6,0,1,0,,
vgCAEihO,,FINISHED,10.04.2021 16:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,2,1,7.3,6.8,Tierney P. (Eng),Anfield (Liverpool),61 276,,67%,33%,23,9,10,5,7,0,0%,0%,6,4,7,0,2,2,13,18,20,31,16,11,4,8,2,4,,
IqBEDB7U,,FINISHED,10.04.2021 13:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,1,2,6.8,7.1,Marriner A. (Eng),Etihad Stadium (Manchester),55 097,,71%,29%,29,2,7,2,9,3,0%,0%,11,0,11,0,2,3,18,14,23,9,12,15,0,6,3,1,0,1
AJ76FXxI,,FINISHED,09.04.2021 21:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,0,1,6.6,7.4,Moss J. (Eng),Craven Cottage (London),29 589,,50%,50%,14,7,3,3,3,4,0%,0%,7,4,4,0,3,1,9,14,23,24,11,8,2,3,,,,
tvGkJFwg,,FINISHED,05.04.2021 21:15,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,2,3,6.9,7.3,Oliver M. (Eng),Molineux Stadium (Wolverhampton),31 750,,66%,34%,20,9,5,6,4,2,0%,0%,13,3,2,0,1,1,10,10,16,20,9,9,3,3,1,4,,
AcWV2fgC,,FINISHED,05.04.2021 19:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,1,7.2,7,Friend K. (Eng),Goodison Park (Liverpool),39 572,,47%,53%,15,13,7,6,3,4,0%,0%,7,4,1,3,2,1,11,12,16,15,10,10,5,6,2,0,,
KSDMPH0P,,FINISHED,04.04.2021 20:30,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,2,1,7.4,6.6,Dean M. (Eng),Old Trafford (Manchester),75 635,,58%,42%,15,5,7,3,5,6,0%,0%,6,0,2,2,0,2,9,15,17,18,14,7,2,5,2,2,,
