matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,blocked_shots.home,blocked_shots.away,red_cards.home,red_cards.away
KfIcpcUN,,FINISHED,04.05.2024 16:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,0,0,7.2,7.1,Scott G. (Eng),Brentford Community Stadium (London),17 250,17 090,1.11,1.13,55%,45%,7,15,3,3,7,6,0%,0%,1,1,4,12,1,0,5,5,17,13,3,6,3,3,,,,
vuaUvyho,,FINISHED,04.05.2024 16:00,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,1,4,6.5,7.6,Taylor A. (Eng),Turf Moor (Burnley),22 546,21 781,1.17,3.03,47%,53%,17,23,5,11,4,11,0%,0%,2,2,12,12,0,0,8,8,15,17,8,8,7,4,,,,
K8cWbdqH,,FINISHED,04.05.2024 16:00,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,1,3,6.3,7.4,Kavanagh C. (Eng),Bramall Lane (Sheffield),32 050,28 516,2.26,1.49,54%,46%,17,15,5,4,5,3,0%,0%,2,1,12,11,0,1,7,9,18,20,9,7,1,4,,,1,0
t4JgowFH,,FINISHED,04.05.2024 13:30,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,3,0,7.5,6.4,Coote D. (Eng),Emirates Stadium (London),60 704,60 348,3.45,0.40,56%,44%,24,7,9,2,6,1,0%,0%,2,3,15,5,5,0,9,20,18,14,16,12,2,6,,,,
CrfO0IE4,,FINISHED,03.05.2024 21:00,Luton,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,1,1,7.2,7.2,Robinson T. (Eng),Kenilworth Road (Luton),12 300,11 873,0.87,1.64,50%,50%,18,10,5,3,7,7,0%,0%,1,3,13,7,0,0,12,13,24,13,14,12,2,4,,,,
lUEplQC8,,FINISHED,02.05.2024 20:30,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,2,0,7.5,6.5,Jones R. (Eng),Stamford Bridge (London),40 341,40 341,1.71,1.87,38%,62%,16,19,5,3,4,9,0%,0%,0,1,11,16,1,2,19,13,14,22,12,16,3,3,,,,
CORxkLFh,,FINISHED,28.04.2024 17:30,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,2,6.5,7.3,Hooper S. (Eng),City Ground (Nottingham),30 404,29 677,1.47,0.70,33%,67%,14,11,2,5,4,5,0%,0%,,,12,6,2,1,7,10,16,17,8,6,3,2,,,,
ETaCYaVB,,FINISHED,28.04.2024 15:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,3,0,7.4,6.5,Tierney P. (Eng),Vitality Stadium (Bournemouth),11 307,11 188,2.33,1.10,30%,70%,15,13,6,1,8,2,0%,0%,2,2,9,12,1,1,10,15,16,20,14,10,1,3,,,,
jFQtluVb,,FINISHED,28.04.2024 15:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,2,3,6.5,7,Oliver M. (Eng),Tottenham Hotspur Stadium (London),62 850,61 554,2.27,1.00,62%,38%,14,9,2,3,8,6,0%,0%,2,1,12,6,3,4,19,15,16,7,12,16,1,0,,,,
hKbGXJpI,,FINISHED,27.04.2024 21:00,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,2,2,6.6,6.8,Pawson C. (Eng),Villa Park (Birmingham),42 789,42 354,0.85,1.47,28%,72%,9,21,4,5,2,4,0%,0%,3,5,5,16,2,4,18,15,6,12,13,14,3,2,,,,
nsbKWw0O,,FINISHED,27.04.2024 18:30,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,0,7.3,6.6,England D. (Eng),Goodison Park (Liverpool),39 572,39 098,0.89,0.93,48%,52%,18,10,1,4,6,6,0%,0%,1,2,17,6,4,2,14,14,20,22,10,12,4,0,,,,
0p2OVcFU,,FINISHED,27.04.2024 16:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,1,7.1,7,Attwell S. (Eng),Craven Cottage (London),29 589,24 142,1.27,0.97,53%,47%,9,14,2,4,5,9,0%,0%,0,2,7,10,1,1,16,12,12,20,11,15,3,1,,,,
Q7TUjsot,,FINISHED,27.04.2024 16:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Burnley,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,1,1,7.2,7.1,Brooks J. (Eng),Old Trafford (Manchester),75 635,73 571,1.64,1.57,47%,53%,27,16,10,7,6,5,0%,0%,1,3,17,9,0,2,13,7,17,10,7,11,6,9,,,,
4bSYk10n,,FINISHED,27.04.2024 16:00,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Sheffield Utd,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,5,1,7.6,6.3,Harrington T. (Eng),St. James' Park (Newcastle),52 305,52 196,2.43,1.64,59%,41%,20,15,7,5,4,5,0%,0%,,,13,10,3,0,9,12,19,14,9,10,4,2,,,,
nsKknJaB,,FINISHED,27.04.2024 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Luton,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,2,1,7.4,6.7,Coote D. (Eng),Molineux Stadium (Wolverhampton),31 750,31 531,1.17,0.45,58%,42%,13,9,5,6,4,4,0%,0%,3,1,8,3,2,0,14,16,24,23,14,14,5,3,,,,
YwGomap5,,FINISHED,27.04.2024 13:30,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,2,2,7.3,7.4,Taylor A. (Eng),London Stadium (London),62 500,62 474,0.82,1.74,29%,71%,11,28,8,8,4,8,0%,0%,0,2,3,20,1,4,14,9,15,21,8,10,6,6,,,,
44mim5qC,,FINISHED,25.04.2024 21:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,0,4,6,7.6,Gillett J. (Aus),Amex Stadium (Brighton),31 876,31 596,0.41,1.36,35%,65%,7,14,3,6,4,4,0%,0%,2,0,4,8,5,1,4,14,9,14,10,3,2,3,,,,
