matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,shots_off_target.home,shots_off_target.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,goalkeeper_saves.home,goalkeeper_saves.away,yellow_cards.home,yellow_cards.away,red_cards.home,red_cards.away,blocked_shots.home,blocked_shots.away
69FSiWpS,,FINISHED,07.05.2023 17:30,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,0,2,6.5,7.4,Kavanagh C. (Eng),St. James' Park (Newcastle),52 305,50 267,1.42,1.32,54%,46%,12,10,5,6,9,4,0%,0%,7,4,0,1,12,16,21,15,16,12,4,5,2,1,,
Ys2LghGF,,FINISHED,06.05.2023 18:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,1,0,7.1,6.6,Taylor A. (Eng),Anfield (Liverpool),61 276,52 838,2.23,0.19,54%,46%,15,5,5,1,7,3,0%,0%,10,4,1,2,12,20,20,15,19,10,1,4,4,2,,
bP98dfWd,,FINISHED,06.05.2023 16:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,1,3,6.4,7.2,Brooks J. (Eng),Vitality Stadium (Bournemouth),11 307,10 357,1.12,1.43,34%,66%,10,11,4,5,7,7,0%,0%,6,6,1,0,11,10,23,20,9,11,2,3,1,3,,
SIGOhCVL,,FINISHED,06.05.2023 16:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,2,1,7.4,6.1,Madley A. (Eng),Etihad Stadium (Manchester),55 097,53 406,2.67,0.22,81%,19%,18,4,6,2,10,1,0%,0%,12,2,4,3,19,7,12,11,3,16,1,4,0,3,,
QgdanA8k,,FINISHED,06.05.2023 16:00,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,1,0,7.3,6.6,England D. (Eng),Tottenham Hotspur Stadium (London),62 850,61 093,1.00,0.35,58%,42%,8,7,3,2,8,4,0%,0%,5,5,1,0,14,16,11,26,15,14,2,2,3,5,,
b7f7plw2,,FINISHED,06.05.2023 16:00,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,1,0,7.1,6.6,Attwell S. (Eng),Molineux Stadium (Wolverhampton),31 750,31 641,0.74,1.62,38%,62%,6,16,2,3,5,6,0%,0%,4,13,3,2,11,24,14,19,20,9,3,1,3,3,,
6DkGCi44,,FINISHED,04.05.2023 21:00,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,1,0,7.4,6.7,Marriner A. (Eng),Amex Stadium (Brighton),31 876,31 577,2.15,1.26,60%,40%,22,16,6,5,8,6,0%,0%,16,11,0,2,16,10,7,8,10,14,5,5,4,4,,
2uqPAVYG,,FINISHED,03.05.2023 21:00,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,1,0,7.3,6.7,Attwell S. (Eng),Anfield (Liverpool),61 276,52 602,1.71,0.55,57%,43%,15,9,3,3,7,5,0%,0%,12,6,3,2,9,13,21,14,10,8,3,2,,,,
d2rT9klN,,FINISHED,03.05.2023 21:00,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,3,0,7.4,6.4,Brooks J. (Eng),Etihad Stadium (Manchester),55 097,53 305,2.55,0.39,69%,31%,16,6,7,2,6,3,0%,0%,9,4,1,0,8,9,15,11,8,8,2,4,0,1,,
Gr9TeNun,,FINISHED,02.05.2023 21:00,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,3,1,7.4,6.6,Jones R. (Eng),Emirates Stadium (London),60 704,60 144,2.10,0.60,55%,45%,16,7,10,4,7,2,,,6,3,1,0,,,,,10,10,3,7,0,2,,
CU4liafH,,FINISHED,01.05.2023 21:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,2,2,7.3,7.2,Oliver M. (Eng),King Power Stadium (Leicester),32 261,32 173,3.53,3.39,55%,45%,15,23,6,8,2,9,,,9,15,6,3,,,,,10,12,6,4,4,1,,
lfSHZWOq,,FINISHED,30.04.2023 17:30,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,4,3,7.2,6.5,Tierney P. (Eng),Anfield (Liverpool),61 276,53 275,2.57,2.15,68%,32%,12,10,4,7,4,2,,,8,3,0,5,,,,,12,6,4,0,3,2,,
xhAPd3Qu,,FINISHED,30.04.2023 15:00,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Leeds,https://static.flashscore.com/res/image/data/rsvCPOh5-O4P6Zhap.png,4,1,7.2,6.6,Kavanagh C. (Eng),Vitality Stadium (Bournemouth),11 307,10 434,2.13,1.79,43%,57%,12,15,7,6,2,5,,,5,9,2,1,,,,,12,14,5,3,1,0,,
I75phuuB,,FINISHED,30.04.2023 15:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,1,2,6.6,7.2,Hooper S. (Eng),Craven Cottage (London),29 589,24 498,0.17,2.79,37%,63%,4,12,1,9,2,5,,,3,3,3,1,,,,,9,10,7,0,1,3,,
6VMMYjvj,,FINISHED,30.04.2023 15:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Aston Villa,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,1,0,7.2,6.5,Gillett J. (Aus),Old Trafford (Manchester),75 635,73 592,1.29,0.49,57%,43%,14,7,6,1,1,4,,,8,6,7,3,,,,,16,7,1,5,2,0,,
