matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,home_rating,away_rating,referee,venue,capacity,attendance,expected_goals_(xg).home,expected_goals_(xg).away,ball_possession.home,ball_possession.away,total_shots.home,total_shots.away,shots_on_target.home,shots_on_target.away,big_chances.home,big_chances.away,corner_kicks.home,corner_kicks.away,passes.home,passes.away,yellow_cards.home,yellow_cards.away,xg_on_target_(xgot).home,xg_on_target_(xgot).away,shots_off_target.home,shots_off_target.away,blocked_shots.home,blocked_shots.away,shots_inside_the_box.home,shots_inside_the_box.away,shots_outside_the_box.home,shots_outside_the_box.away,hit_the_woodwork.home,hit_the_woodwork.away,touches_in_opposition_box.home,touches_in_opposition_box.away,accurate_through_passes.home,accurate_through_passes.away,offsides.home,offsides.away,free_kicks.home,free_kicks.away,long_passes.home,long_passes.away,passes_in_final_third.home,passes_in_final_third.away,crosses.home,crosses.away,expected_assists_(xa).home,expected_assists_(xa).away,throw-ins.home,throw-ins.away,fouls.home,fouls.away,tackles.home,tackles.away,duels_won.home,duels_won.away,clearances.home,clearances.away,interceptions.home,interceptions.away,errors_leading_to_shot.home,errors_leading_to_shot.away,errors_leading_to_goal.home,errors_leading_to_goal.away,goalkeeper_saves.home,goalkeeper_saves.away,xgot_faced.home,xgot_faced.away,goals_prevented.home,goals_prevented.away,red_cards.home,red_cards.away,headed_goals.home,headed_goals.away
hQP2pfvg,,FINISHED,26.12.2024 13:30,Manchester City,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,1,1,7.1,7,Hooper S. (Eng),Etihad Stadium (Manchester),55 097,52 527,2.02,0.62,66%,34%,24,8,5,3,4,1,8,5,90%,81%,1,4,,,9,3,10,2,16,5,8,3,1,0,49,15,,,2,2,10,5,,,83%,56%,48%,40%,,,15,11,5,10,53%,75%,,,11,35,2,6,,,,,2,4,,,,,,,,
Sxm2FZvJ,,FINISHED,22.12.2024 17:30,Tottenham,https://static.flashscore.com/res/image/data/ARC62UAr-Ig5FKJZ5.png,Liverpool,https://static.flashscore.com/res/image/data/Gr0cGteM-KCp4zq5F.png,3,6,6.4,7.5,Barrott S. (Eng),Tottenham Hotspur Stadium (London),62 850,61 439,1.25,4.60,52%,48%,9,24,5,12,2,9,7,5,85%,86%,1,2,,,3,8,1,4,6,18,3,6,0,1,26,50,,,4,4,9,7,,,68%,74%,19%,53%,,,18,10,7,9,63%,62%,,,21,21,8,16,,,,,6,2,,,,,,,0,2
Kb4L2deD,,FINISHED,22.12.2024 15:00,Everton,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Chelsea,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,0,0,6.9,7.2,Kavanagh C. (Eng),Goodison Park (Liverpool),39 572,39 358,0.39,0.77,25%,75%,5,12,4,5,2,3,2,5,73%,90%,4,1,,,0,3,1,4,2,6,3,6,0,1,7,24,,,2,1,12,20,,,55%,77%,11%,18%,,,7,20,20,12,48%,65%,,,21,13,10,2,,,,,5,4,,,,,,,,
n5d7QamK,,FINISHED,22.12.2024 15:00,Fulham,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Southampton,https://static.flashscore.com/res/image/data/fmA9gnyB-raLYxovi.png,0,0,7,6.9,Robinson T. (Eng),Craven Cottage (London),29 589,26 819,1.04,0.26,57%,43%,16,5,5,1,2,0,6,5,87%,80%,1,3,,,6,1,5,3,9,3,7,2,0,0,35,14,,,1,2,15,8,,,79%,51%,26%,31%,,,26,14,8,15,60%,60%,,,12,35,8,14,,,,,1,5,,,,,,,,
OpjoJHuf,,FINISHED,22.12.2024 15:00,Leicester,https://static.flashscore.com/res/image/data/Em1CYqYg-UNZg5BP0.png,Wolves,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,0,3,6.2,7.4,Taylor A. (Eng),King Power Stadium (Leicester),32 261,29 341,0.81,1.06,53%,47%,9,8,5,4,1,2,6,1,87%,82%,2,0,,,2,3,2,1,7,6,2,2,0,1,17,11,,,1,1,16,15,,,68%,62%,17%,38%,,,20,8,15,16,44%,60%,,,8,21,9,7,,,,,1,5,,,,,,,,
KCqfHeA6,,FINISHED,22.12.2024 15:00,Manchester Utd,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Bournemouth,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,0,3,6.5,7.5,Pawson C. (Eng),Old Trafford (Manchester),75 635,73 720,2.26,1.24,60%,40%,23,10,7,5,4,2,13,1,81%,76%,1,3,,,10,3,6,2,13,6,10,4,0,0,45,15,,,0,2,11,11,,,77%,63%,38%,22%,,,19,17,11,11,65%,67%,,,10,31,4,11,,,,,2,7,,,,,,,0,1
bqGC4IQ0,,FINISHED,21.12.2024 18:30,Crystal Palace,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Arsenal,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,1,5,6.3,7.3,Hooper S. (Eng),Selhurst Park (London),25 486,25 167,1.72,2.88,41%,59%,15,14,6,6,3,5,3,3,81%,87%,2,2,,,6,3,3,5,10,13,5,1,0,2,18,33,,,1,0,8,9,,,67%,68%,43%,53%,,,14,21,9,8,42%,69%,,,25,15,3,10,,,,,1,5,,,,,,,,
jJC46vdl,,FINISHED,21.12.2024 16:00,Brentford,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Nottingham,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,0,2,6.5,7.5,Oliver M. (Eng),Brentford Community Stadium (London),17 250,17 115,0.80,0.84,64%,36%,7,10,3,6,1,1,9,5,85%,78%,3,4,,,2,3,2,1,7,7,0,3,0,0,35,17,,,1,3,14,9,,,71%,78%,13%,7%,,,14,16,9,14,71%,50%,,,18,49,13,17,,,,,4,3,,,,,,,,
jXiwLwBs,,FINISHED,21.12.2024 16:00,Ipswich,https://static.flashscore.com/res/image/data/zm5vbmDa-jXzj6iAf.png,Newcastle,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,0,4,6,7.5,Attwell S. (Eng),Portman Road (Ipswich),30 017,29 774,0.70,2.31,41%,59%,10,15,2,7,1,5,2,1,82%,87%,2,0,,,4,7,4,1,8,13,2,2,0,1,20,35,,,3,0,7,9,,,67%,65%,25%,50%,,,10,19,9,7,60%,64%,,,14,15,3,6,,,,,3,2,,,,,,,,
8YPlwwXP,,FINISHED,21.12.2024 16:00,West Ham,https://static.flashscore.com/res/image/data/Qo3RdMjl-Q9DJHs4l.png,Brighton,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,1,1,7.1,7.1,Jones R. (Eng),London Stadium (London),62 500,62 460,1.60,0.91,46%,54%,11,12,4,6,2,4,8,4,75%,85%,2,2,,,3,2,4,4,8,10,3,2,0,1,27,53,,,5,1,20,14,,,45%,76%,21%,18%,,,21,13,14,20,58%,53%,,,30,25,6,7,,,,,5,3,,,,,,,1,0
